시도명,시군구명,업태,주메뉴,업소명,주소,전화번호 
경기도,남양주시,한식,등심. 삼겹살,대성옥,경기도 남양주시 금곡로 44-1 (금곡동),031-592-6688
경기도,남양주시,한식,삼겹살,구이가 덕소점,경기도 남양주시 와부읍 덕소로 119,031-576-9292
경기도,남양주시,한식,구이류,장우가든,경기도 남양주시 진접읍 금강로 1586 (.  19),031-572-3493
경기도,남양주시,한식,솥밥한정식,사랑방,경기도 남양주시 진접읍 광릉수목원로 179-29,031-527-7241
경기도,남양주시,한식,장어구이,종가집,경기도 남양주시 조안면 북한강로 856,031-576-1101
경기도,남양주시,한식,구이류. 한정식,(주)더늘봄,경기도 남양주시 진접읍 금강로 1845,031-572-4447
경기도,남양주시,한식,한정식,소리마을,경기도 남양주시 화도읍 북한강로 1474,031-559-6563
경기도,남양주시,한식,매운탕,범바위식당,경기도 남양주시 화도읍 북한강로 1672,031-591-1485
경기도,남양주시,한식,생선구이,바람과구름,경기도 남양주시 화도읍 북한강로 1502,031-559-8878
경기도,남양주시,한식,전복 한정식,석화,경기도 남양주시 화도읍 묵현로 91,031-591-8287
경기도,남양주시,한식,매운탕. 장어구이. 백숙,느티나무가든,경기도 남양주시 강변북로632번길 26 (수석동. 외3필지),031-555-8833
경기도,남양주시,기타,닭백숙,고센씨암닭,경기도 남양주시 와부읍 수레로640번길 70,031-576-0707
경기도,남양주시,한식,영양돌솥밥,매봉골,경기도 남양주시 화도읍 북한강로 1362,031-591-5641
경기도,남양주시,한식,곰탕,배나무골순한우꼬리곰탕집,경기도 남양주시 와부읍 글개울로63번길 17,031-576-0417
경기도,남양주시,일식,참치,사조참치남양지점,경기도 남양주시 경춘로 1287 (평내동. 우성빌딩 3층 301호),031-591-1445
경기도,남양주시,한식,청국장,원조 너와집 청국장,경기도 남양주시 화도읍 북한강로 1538,031-591-4917
경기도,남양주시,한식,면류,다시면가(본점),경기도 남양주시 화도읍 경춘로 2348,031-594-1388
경기도,남양주시,한식,돼지갈비,진짜맛있는집,경기도 남양주시 오남읍 진건오남로 556.  1층,031-575-7002
경기도,남양주시,한식,수제비,삼청골 명가 더 수제비,경기도 남양주시 조안면 북한강로 856-31,031-576-0603
경기도,남양주시,한식,아구찜. 바다가재. 해물짐,안채,경기도 남양주시 강변북로632번길 31 (수석동),031-555-2848
경기도,남양주시,일식,송어회. 송어매운탕,수사골송어,경기도 남양주시 오남읍 진건오남로708번길 53 (제1동. 제2동),031-575-6888
경기도,남양주시,한식,숯불갈비,한마당숯불갈비,경기도 남양주시 진건읍 사릉로446번길 27-1,031-573-8693
경기도,남양주시,한식,돌솥밥,광릉돌솥밥,경기도 남양주시 진접읍 금강로1845번길 1,031-527-3334
경기도,남양주시,한식,냉면. 만두. 불고기,개성면옥,경기도 남양주시 경춘로 934 (금곡동),031-591-4843
경기도,남양주시,한식,매운탕. 장어구이,토방촌,경기도 남양주시 강변북로632번길 17 (수석동),031-555-5292
경기도,남양주시,한식,도토리,다람쥐마을한정식,경기도 남양주시 와부읍 석실로317번길 58,031-577-4847
경기도,남양주시,한식,초당순두부. 짬뽕순두부,강릉짬뽕순두부,경기도 남양주시 와부읍 경강로926번길 85,031-576-0141
경기도,남양주시,한식,등심. 왕생갈비,이정갈비,경기도 남양주시 오남읍 진건오남로 923,031-575-1325
경기도,남양주시,한식,한정식,고향가는길,경기도 남양주시 강변북로 716 (수석동),031-556-3389
경기도,남양주시,한식,한정식,초대,경기도 남양주시 강변북로632번길 6-45 (수석동. . 185),031-557-7318
경기도,남양주시,한식,오리구이,(주)푸드팩토리,경기도 남양주시 와부읍 경강로 896-2,031-576-0130
경기도,남양주시,한식,한정식,한옥맛집,경기도 남양주시 화도읍 북한강로 1402,031-592-1230
경기도,남양주시,양식,스테이크,봉카페,경기도 남양주시 천마산로 110 (호평동),031-591-6161
경기도,남양주시,기타,비빔국수,시가올,경기도 남양주시 고산로 196 (삼패동),031-576-7100
경기도,남양주시,한식,소고기. 돼지고기 구이류,최씨본가참숯화로구이,경기도 남양주시 진접읍 장현로 66,031-575-8592
경기도,남양주시,한식,불고기,주식회사 광릉불고기,경기도 남양주시 진접읍 광릉내로82번길 40-1,031-527-6631
경기도,남양주시,한식,냉면,개성면옥,경기도 남양주시 와부읍 덕소로 59,031-576-7474
경기도,남양주시,한식,해장국,양평뚝배기해장국,경기도 남양주시 화도읍 북한강로 1462,031-559-1501
경기도,남양주시,한식,뽕나무동충하초삼계탕. 영양솥밥정식,큰대문집,경기도 남양주시 진접읍 광릉수목원로 179-19,031-527-7235
경기도,남양주시,양식,안심구이. 해물스파게티,엘&엠,경기도 남양주시 와부읍 경강로 832,031-577-3200
경기도,남양주시,한식,갈비류,수인씨의마당,경기도 남양주시 덕릉로 1115-49 (별내동),031-573-0980
경기도,남양주시,양식,파스타,(주)프라움레스토랑,경기도 남양주시 와부읍 경강로 756,031-272-7000
경기도,남양주시,일식,회,삼다도,경기도 남양주시 진접읍 봉현로13번길 18,031-571-3306
경기도,남양주시,한식,한정식. 팥죽,바위와소나무,경기도 남양주시 순화궁로 474 (별내동),031-529-1235
경기도,남양주시,한식,보리밥,와뚠지,경기도 남양주시 화도읍 비룡로 326,031-593-4942
경기도,남양주시,한식,닭갈비,춘천본가닭갈비,경기도 남양주시 화도읍 먹갓로28번길 5,031-594-7295
경기도,남양주시,한식,칼국수,등촌샤브마석점칼국수,경기도 남양주시 화도읍 마석우리 372-6,031-511-7810
경기도,남양주시,한식,곰탕,해마루,경기도 남양주시 와부읍 수레로 347,031-521-2080
